detalhe_incidente;tipo_incidente;detalhe_limpo
não consigo estornar miro anexo erro estornar miro;Erro;consigo estornar miro anexo erro estornar miro
pedido anexo somar valor imposto módulo fm assim consumir orçamento valor despesa imposto fazer teste outro fornecedor mesmo parâmetro sem erro fm pedir somar imposto módulo fm;Erro;pedido anexo somar valor imposto módulo assim consumir orçamento valor despesa imposto fazer teste outro fornecedor parâmetro erro pedir somar imposto módulo
bloquear entrada conhecimento transporte final dia fechamento mês março bloqueio entrada conhecimento transporte;Melhorias;bloquear entrada conhecimento transporte final fechamento mês março bloqueio entrada conhecimento transporte
alteração estratégia liberação rh sesmt planta manau cajamar cristina ir aprovar gestora claudiar diretora necessário criar código liberação novo claudia alteração estratégia liberação rh sesmt;Melhorias;alteração estratégia liberação sesmt planta manau cajamar cristina aprovar gestora claudiar diretora necessário criar código liberação novo claudia alteração estratégia liberação sesmt
bloquear entrada conhecimento transporte fechamento mês abril bloqueio entrada conhecimento transporte;Avaliação_Técnica;bloquear entrada conhecimento transporte fechamento mês abril bloqueio entrada conhecimento transporte
criação pedido contrato sap grupo comprador fsi jum criação pedido contrato sap;Melhorias;criação pedido contrato grupo comprador fsi jum criação pedido contrato
bloqueio entrada conhecimento transporte final dia fechamento mês bloqueio;Corretiva;bloqueio entrada conhecimento transporte final fechamento mês bloqueio
abap pm gmt andressa Soares considerar item nota fiscal controle imposto dir fisc icms código nota saída sucata scrap executar transação código imposto nota fiscal;Melhorias;soares considerar item nota fiscal controle imposto dir fisc icms código nota saída sucata scrap executar transação código imposto nota fiscal
chamar pm gmt andressa Soares inclusão coluna imposto retir inss ir csrf transação coluna cada imposto inclusão coluna imposto reter;Melhorias;chamar andressa soares inclusão coluna imposto retir inss csrf transação coluna cada imposto inclusão coluna imposto reter
fazer bloqueio data hoje fechamento mês bloqueio;Corretiva;fazer bloqueio data hoje fechamento mês bloqueio
solicitar alteração aprovação código Paulo sandrini di período férias Manuel Moreira período aprovação pedido;Melhorias;solicitar alteração aprovação código período férias período aprovação pedido
bloquear conhecimento transporte eletrônico fechamento mês bloqueio;Erro;bloquear conhecimento transporte eletrônico fechamento mês bloqueio
parametrizar crédito pis cofim sobre nota fiscal energia elétrico base valor total fatura código imposto energia;Melhorias;parametrizar crédito sobre nota fiscal energia elétrico base valor total fatura código imposto energia
perfil am gmt eduardo romero simao liberar acesso usuário lucasms criação contrato grupo comprador mpm configurar contrato grupo mpm;Melhorias;perfil gmt eduardo romero simao liberar lucasms criação contrato grupo comprador mpm configurar contrato grupo mpm
bloquear fechamento mês bloqueio;Corretiva;bloquear fechamento mês bloqueio
bloquear conhecimento transporte fechamento bloqueio;Erro;bloquear conhecimento transporte fechamento bloqueio
alteração endereço depósito fechar centro conforme dado cadastral sefaz conforme anexo alteração endereço depósito fechar;Melhorias;alteração endereço depósito fechar centro conforme cadastral sefaz conforme anexo alteração endereço depósito fechar
request subir produção request subir produção;Corretiva;request subir produção request subir produção
andressa soares enviar novembro eduardo maregar cc cleonice oliveira erik carvalho assunto erro lançar miro maregar precisar adicionar usuário centro custo grupo mpm lincoln fazer lançamento despesa importação caso peça reposição máquina att rro lançar miro importação pedir;Melhorias;enviar novembro assunto erro lançar miro maregar precisar adicionar centro custo grupo fazer lançamento despesa importação caso peça reposição máquina att rro lançar miro importação pedir
impossibilidade baixa material pa através migo erro lançamento automático conta classe material x conta contábil baixo material Pa;Melhorias;impossibilidade baixa material migo erro lançamento automático conta classe material conta contábil baixo material
bloqueio fechamento bloqueio;Corretiva;bloqueio fechamento bloqueio
bloquear conhecimento transporte fechamento bloqueio;Corretiva;bloquear conhecimento transporte fechamento bloqueio
não possivel baixar reserva valor zerado reserva baixo reserva valor zero;Erro;possivel baixar reserva valor zerado reserva baixo reserva valor zero
tipo manutenção adicionar key user processo transação sim justifique acesso transação usuária dynnesr outro informação criação contrato smt manutenção perfil sap;Melhorias;tipo manutenção adicionar key user processo transação sim justifique transação usuária dynnesr outro informação criação contrato smt manutenção perfil
bloquear fechamento mensal bloqueio;Corretiva;bloquear fechamento mensal bloqueio
bloqueio fechamento mês fevereiro bloqueio;Corretiva;bloqueio fechamento mês fevereiro bloqueio
bloqueio fechamento mês março bloqueio;Corretiva;bloqueio fechamento mês março bloqueio
alteração endereço fábrica arcon centro rua cumucim nº galpão cep bairro aleixo av oitis nº galpão módulo cep bairro distrito industrial ii encerramento centro depósito fechar alteração endereço fábrica arcon;Melhorias;alteração endereço fábrica arcon centro rua cumucim galpão cep bairro aleixo oitis galpão módulo cep bairro distrito industrial encerramento centro depósito fechar alteração endereço fábrica arcon
bloqueio fechamento mês bloqueio;Corretiva;bloqueio fechamento mês bloqueio
bloquear fechamento mês bloqueio;Corretiva;bloquear fechamento mês bloqueio
bloquear fechamento junho bloqueio;Corretiva;bloquear fechamento junho bloqueio
problema baixa estoque migo devolução mensagem cm não atingir kg msg erro Migo devolução;Avaliação_Técnica;baixa estoque migo devolução mensagem atingir msg erro devolução
alteração unidade medida emissão exportação alteração unidade medida;Corretiva;alteração unidade medida emissão exportação alteração unidade medida
bloqueio fechamento mês julho bloqueio;Corretiva;bloqueio fechamento mês julho bloqueio
alteração unidade medida emissão exportação alteração unidade medida;Corretiva;alteração unidade medida emissão exportação alteração unidade medida
alteração unidade medida emissão exportação alteração unidade medida;Corretiva;alteração unidade medida emissão exportação alteração unidade medida
erro emissão nota fiscal erro emissão nota fiscal;Avaliação_Técnica;erro emissão nota fiscal erro emissão nota fiscal
bloqueio fechamento mês bloqueio;Corretiva;bloqueio fechamento mês bloqueio
bloquear fechamento mês bloqueio;Corretiva;bloquear fechamento mês bloqueio
bloqueio fechamento mês outubro bloqueio;Corretiva;bloqueio fechamento mês outubro bloqueio
bloqueio fechamento bloqueio;Corretiva;bloqueio fechamento bloqueio
